uniprot	gene
P53384	NUBP1
A0A1W2PR48	TLE7
Q9Y692	GMEB1
Q8IYA6	CKAP2L
Q96LW4	PRIMPOL
Q9Y242	TCF19
Q96BF3	TMIGD2
O75387	SLC43A1
Q14406	CSHL1
Q6ZRI8	ARHGAP36
P55899	FCGRT
Q8NGS6	OR13C3
Q9UFG5	C19orf25
Q8IWD4	CCDC117
O95551	TDP2
Q5JQC4	CT47A1
Q5JQC4	CT47A10
Q5JQC4	CT47A11
Q5JQC4	CT47A12
Q5JQC4	CT47A2
Q5JQC4	CT47A3
Q5JQC4	CT47A4
Q5JQC4	CT47A5
Q5JQC4	CT47A6
Q5JQC4	CT47A7
Q5JQC4	CT47A8
Q5JQC4	CT47A9
Q9UKU9	ANGPTL2
Q15067	ACOX1
Q99714	HSD17B10
Q8N801	STPG4
O15263	DEFB4A
O15263	DEFB4B
Q9H0F5	RNF38
Q8N6Q1	TMCO5A
Q96JT2	SLC45A3
Q03167	TGFBR3
A8MYA2	CXorf49
A8MYA2	CXorf49B
Q8IYS5	OSCAR
P01719	IGLV3-21
Q9UBL0	ARPP21
Q8TDJ6	DMXL2
Q7Z304	MAMDC2
Q9BXX2	ANKRD30B
Q8IV32	CCDC71
Q5VT97	SYDE2
P08247	SYP
Q9BTN0	LRFN3
F8VTS6	RFPL4AL1
P62891	RPL39
Q9HAJ7	SAP30L
Q9NVV2	C19orf73
Q5EBN2	TRIM61
Q6P6B7	ANKRD16
Q9NP31	SH2D2A
Q9C0G0	ZNF407
O75843	AP1G2
P05014	IFNA4
Q9NV39	PRR34
P04628	WNT1
O95273	CCNDBP1
P40189	IL6ST
Q6UDR6	SPINT4
P58513	LINC00158
Q02363	ID2
P14209	CD99
Q5TD94	RSPH4A
Q9BZK7	TBL1XR1
Q58FF3	HSP90B2P
Q9ULV5	HSF4
Q96PY0	PSMG3-AS1
Q6P9A1	ZNF530
Q32MQ0	ZNF750
Q6YN16	HSDL2
P49768	PSEN1
Q02447	SP3
Q9NQG6	MIEF1
P18075	BMP7
P08962	CD63
Q8IV42	PSTK
Q9HD47	RANGRF
P62807	H2BC10
P62807	H2BC4
P62807	H2BC6
P62807	H2BC7
P62807	H2BC8
Q9P2U7	SLC17A7
P08574	CYC1
A2A3L6	TTC24
P61964	WDR5
Q68BL8	OLFML2B
O94805	ACTL6B
Q86UR1	NOXA1
Q86W11	ZSCAN30
O43663	PRC1
P05067	APP
P06454	PTMA
Q8IXI1	RHOT2
O00180	KCNK1
Q96BN8	OTULIN
Q8NEH6	MNS1
Q5TC84	OGFRL1
Q13472	TOP3A
Q8NBB4	ZSCAN1
P23760	PAX3
Q7L1S5	CHST9
Q9H7J1	PPP1R3E
Q9NS82	SLC7A10
P08236	GUSB
Q9Y4F3	MARF1
Q96CP7	TLCD1
P63123	ERVK-18
Q96JM7	L3MBTL3
P58400	NRXN1
Q30KQ7	DEFB113
P59036	LINC00310
Q03052	POU3F1
Q9NNX9	VCX3A
Q9GZX9	TWSG1
A6NGU7	LINC01546
Q9UPZ3	HPS5
Q30KQ4	DEFB116
P62314	SNRPD1
A4D0T2	C7orf66
Q8TD07	RAET1E
O75914	PAK3
Q12959	DLG1
Q14232	EIF2B1
Q9BXB1	LGR4
Q5TCX8	MAP3K21
P20337	RAB3B
O00499	BIN1
O60687	SRPX2
O75362	ZNF217
P53597	SUCLG1
P01857	IGHG1
Q8TE23	TAS1R2
O00217	NDUFS8
Q9H0J9	PARP12
P62491	RAB11A
Q8TE60	ADAMTS18
Q96JQ2	CLMN
O75638	CTAG2
O00159	MYO1C
P01730	CD4
Q6W3E5	GDPD4
Q8N0Z6	TTC5
A6NGB7	TMEM221
P17040	ZSCAN20
P20742	PZP
Q8N815	CNTD1
Q9H160	ING2
Q5VX52	SPATA1
Q9BPX3	NCAPG
P10415	BCL2
Q15003	NCAPH
Q9BYG0	B3GNT5
P08949	NMB
Q13642	FHL1
Q86WD7	SERPINA9
Q14669	TRIP12
Q92738	USP6NL
P22004	BMP6
P54274	TERF1
Q9UJW9	SERTAD3
Q9Y6K8	AK5
Q9ULT0	TTC7A
O43598	DNPH1
P48060	GLIPR1
Q7RTS9	DYM
Q8WX94	NLRP7
A0A576	TRBV3-1
P30153	PPP2R1A
Q86YR7	MCF2L2
O75427	LRCH4
Q8WU67	ABHD3
Q9NWT6	HIF1AN
P0C7T5	ATXN1L
Q07866	KLC1
O00220	TNFRSF10A
Q6YP21	KYAT3
O15258	RER1
Q9NRZ5	AGPAT4
Q9ULD9	ZNF608
Q6B0K9	HBM
P49913	CAMP
Q9P272	TRMT9B
P60510	PPP4C
P15036	ETS2
P14060	HSD3B1
P56373	P2RX3
Q16690	DUSP5
A0A0B4J245	TRAV12-1
A8K0R7	ZNF839
P51671	CCL11
Q9H0B8	CRISPLD2
Q9H0R1	AP5M1
P18669	PGAM1
Q86UP3	ZFHX4
Q9UPZ9	CILK1
Q9UBD9	CLCF1
Q8NH72	OR4C6
Q6P582	MZT2A
Q9NWK9	ZNHIT6
Q7Z353	HDX
Q5T0B9	ZNF362
P23919	DTYMK
A0A286YF58	TMEM271
Q9GZT3	SLIRP
O00237	RNF103
O95260	ATE1
Q9Y5R5	DMRT2
Q53HI1	UNC50
Q8NHG8	ZNRF2
P81534	DEFB103A
P81534	DEFB103B
Q8NA56	TTC29
Q6HA08	ASTL
Q9Y608	LRRFIP2
Q8WWF8	CAPSL
Q92521	PIGB
Q9Y4R8	TELO2
A6QL63	BTBD11
P09874	PARP1
Q9HAE3	EFCAB1
Q7Z589	EMSY
Q75LS8	FKBP9P1
Q9NZI2	KCNIP1
Q68DD2	PLA2G4F
Q8N4C7	STX19
Q8WZ26	PP6455
Q6DN90	IQSEC1
Q96Q15	SMG1
Q9NW13	RBM28
Q8N9V7	TOPAZ1
Q8IXS2	CCDC65
O75462	CRLF1
Q9BZV3	IMPG2
Q8IYA7	MKX
Q5VWW1	C1QL3
Q3KRA9	ALKBH6
Q5VVM6	CCDC30
P30281	CCND3
A0A0U1RRI6	CENPVL3
P56749	CLDN12
Q7RTY8	TMPRSS7
Q96AP0	ACD
Q13882	PTK6
Q8N8S7	ENAH
Q9BU02	THTPA
Q9ULX9	MAFF
Q9Y5H2	PCDHGA11
Q96QS1	TSPAN32
Q8NE18	NSUN7
Q6GPH6	ITPRIPL1
A6NC51	TMEM150B
Q9UBB9	TFIP11
Q92782	DPF1
Q96S07	PRR25
Q5W0B1	OBI1
Q15428	SF3A2
Q15973	ZNF124
P14317	HCLS1
Q8NA66	CNBD1
O15409	FOXP2
Q9BV44	THUMPD3
Q9UKI8	TLK1
Q96KP4	CNDP2
Q02413	DSG1
Q96BQ1	FAM3D
Q6ICL3	TANGO2
Q5T6F2	UBAP2
Q8N6N3	C1orf52
P03971	AMH
Q8IVT5	KSR1
Q8N162	OR8H2
Q9BTY2	FUCA2
Q8WXS8	ADAMTS14
Q6UXR8	UNQ6493/PRO21345
O00481	BTN3A1
P06133	UGT2B4
Q8TC41	RNF217
Q24JP5	TMEM132A
Q7RTT9	SLC29A4
P78344	EIF4G2
Q969S8	HDAC10
Q31610	HLA-B
P51512	MMP16
Q3SYC2	MOGAT2
P36405	ARL3
A0A087X0M5	TRBV18
Q13285	NR5A1
Q9P2K2	TXNDC16
B1AH88	TSPO
Q96E35	ZMYND19
Q5EBL2	ZNF628
O95747	OXSR1
Q96JJ7	TMX3
Q5VV63	ATRNL1
Q14814	MEF2D
P51790	CLCN3
Q9HAV4	XPO5
Q9UBR1	UPB1
O76015	KRT38
Q9H313	TTYH1
A0A075B6I1	IGLV4-60
Q6ZPB5	SDIM1
P31269	HOXA9
Q9GZP7	VN1R1
P05231	IL6
Q9Y6I3	EPN1
P59536	TAS2R41
Q5TCY1	TTBK1
P43026	GDF5
P28702	RXRB
P04350	TUBB4A
A0A0B4J237	TRAV8-2
Q96A59	MARVELD3
Q9GZT9	EGLN1
A0AV02	SLC12A8
Q86Y01	DTX1
Q13043	STK4
Q14257	RCN2
Q9H4B4	PLK3
P03999	OPN1SW
Q5TEZ5	C6orf163
P17568	NDUFB7
Q9BYG3	NIFK
Q9H2H8	PPIL3
Q96LA9	MRGPRX4
Q13574	DGKZ
Q9H2K0	MTIF3
Q8NDH2	CCDC168
P07333	CSF1R
Q494X3	ZNF404
Q96FL8	SLC47A1
Q8NHL6	LILRB1
Q16623	STX1A
Q9UNA0	ADAMTS5
P16452	EPB42
O43559	FRS3
A0A087WSZ0	IGKV1D-8
Q53T59	HS1BP3
O75449	KATNA1
Q9ULI4	KIF26A
Q8N158	GPC2
O43790	KRT86
A6NHS7	MANSC4
Q9BSQ5	CCM2
Q99689	FEZ1
Q13214	SEMA3B
P62318	SNRPD3
Q8NGU9	GPR150
P22695	UQCRC2
Q9Y2C2	UST
Q5FYB1	ARSI
Q8N587	ZNF561
Q9GZX6	IL22
P78406	RAE1
Q96N64	PWWP2A
Q9Y294	ASF1A
Q92785	DPF2
Q6ZRC1	C4orf50
O76081	RGS20
P0DMR2	SCGB1C2
Q8NEV1	CSNK2A3
Q9BZ11	ADAM33
Q8NGX2	OR2T35
B2RXF0	TMEM229A
Q5VV16	FOXD4L5
Q8TB68	PRR7
Q8NHH1	TTLL11
Q5SQ64	LY6G6F
Q8WWF6	DNAJB3
Q8N9Z2	CCDC71L
Q16828	DUSP6
P0DP91	ERCC6
Q16853	AOC3
Q8TAG9	EXOC6
P39905	GDNF
Q9Y252	RNF6
Q9UH03	SEPTIN3
Q9UNK9	ANGEL1
Q15393	SF3B3
P42167	TMPO
Q9BSJ2	TUBGCP2
P0CF51	TRGC1
Q969S3	ZNF622
O95182	NDUFA7
Q8NDH3	NPEPL1
Q14249	ENDOG
Q96PP4	TSGA13
P43246	MSH2
Q96M83	CCDC7
Q8NBR9	C11orf72
Q8N323	NXPE1
Q8WZ59	TMEM190
P59998	ARPC4
Q86UZ6	ZBTB46
Q16762	TST
Q5U5Q3	MEX3C
Q6UXU6	TMEM92
Q5VT66	MTARC1
Q06250	WT1-AS
Q6ZVX7	NCCRP1
P20749	BCL3
P09067	HOXB5
Q9BT22	ALG1
Q15078	CDK5R1
Q8WXQ8	CPA5
Q96RT6	CTAGE1
Q9NRZ9	HELLS
P19404	NDUFV2
Q86UU9	TAC4
Q5VZL5	ZMYM4
Q96IL0	COA8
Q99081	TCF12
Q9BTE0	NAT9
P59537	TAS2R43
Q8N1I8	CACTIN-AS1
O15240	VGF
Q9UNW8	GPR132
Q96EL3	MRPL53
Q17RP2	TIGD6
Q8TAE8	GADD45GIP1
Q7RTR0	NLRP9
Q9Y6E0	STK24
P31274	HOXC9
Q8N7I0	GVQW1
Q8TF40	FNIP1
Q8TBZ6	TRMT10A
Q4ZG55	GREB1
P24390	KDELR1
P0DP57	SLURP2
Q8NCF5	NFATC2IP
Q9NS98	SEMA3G
Q96FF9	CDCA5
Q496A3	SPATS1
Q14258	TRIM25
A0A075B6N2	TRBV20-1
P31629	HIVEP2
Q06203	PPAT
Q53H76	PLA1A
Q9UBM8	MGAT4C
Q13183	SLC13A2
A0A0B4J241	TRAV13-1
P60059	SEC61G
A0A1B0GX56	TRDV1
Q5D1E8	ZC3H12A
Q7RTV3	ZNF367
Q8IV36	HID1
Q01082	SPTBN1
O94925	GLS
O00398	P2RY10
P35556	FBN2
Q8IV08	PLD3
Q8IU53	CASC2
Q14123	PDE1C
Q6PHW0	IYD
Q96RD7	PANX1
P54577	YARS1
P37275	ZEB1
P0C7M4	RHOXF2B
P49238	CX3CR1
Q9Y693	LHFPL6
Q9UHP3	USP25
Q3MJ40	CCDC144B
A1L390	PLEKHG3
Q8NDM7	CFAP43
Q9HCM2	PLXNA4
Q15109	AGER
Q8WXQ3	LINC01599
O14576	DYNC1I1
Q5QGZ9	CLEC12A
Q13099	IFT88
P10145	CXCL8
A0A0B4J238	TRAV1-2
Q9NPA5	ZFP64
Q03112	MECOM
P06326	IGHV1-46
Q5THR3	EFCAB6
O00264	PGRMC1
Q13291	SLAMF1
Q969R2	OSBP2
Q9BX63	BRIP1
H3BPF8	GOLGA8S
A6NJU9	NPIPB13
Q14240	EIF4A2
Q9UBC9	SPRR3
Q7Z3Q1	SLC46A3
Q53H54	TRMT12
Q9UIL4	KIF25
Q8N9M5	TMEM102
Q4VXF1	FAM74A3
O60774	FMO6P
P61081	UBE2M
Q99501	GAS2L1
Q9UPN6	SCAF8
Q99726	SLC30A3
Q9GZX3	CHST6
Q6QN14	USP17L6P
Q3KNT9	TMEM95
P63121	HERVK_113
P24071	FCAR
Q9BXY0	MAK16
Q12981	BNIP1
Q63HN1	FAM205BP
Q12951	FOXI1
P04899	GNAI2
Q9BU64	CENPO
Q6UWF9	FAM180A
Q9GZY4	COA1
Q8N2H9	PELI3
P29590	PML
Q03989	ARID5A
Q96KN4	LRATD1
Q8NGD3	OR4K5
P61244	MAX
Q7Z5A8	TAFA3
Q9H330	TMEM245
Q9BXU7	USP26
Q86V15	CASZ1
A2A2Z9	ANKRD18B
Q6PIV2	FOXR1
O43795	MYO1B
P58417	NXPH1
Q8NGZ5	OR2G2
O15530	PDPK1
O95411	TIAF1
Q6NUM6	TYW1B
Q12905	ILF2
Q05BU3	FAM86JP
Q9UHR4	BAIAP2L1
Q99909	SSX3
O95831	AIFM1
Q86U02	LINC00596
Q5M9Q1	NKAPL
Q96ST3	SIN3A
Q6UX07	DHRS13
P05000	IFNW1
Q9Y5P8	PPP2R3B
Q9NUJ1	ABHD10
O14556	GAPDHS
Q8N1Q1	CA13
P06400	RB1
Q9HCJ5	ZSWIM6
Q4VX67	SPATA31A7
P30455	HLA-A
Q13867	BLMH
Q9Y2K7	KDM2A
A0A075B6I0	IGLV8-61
Q9NRH1	YAE1
Q0D2J5	ZNF763
Q5VUG0	SFMBT2
P19338	NCL
P35670	ATP7B
Q69YU3	ANKRD34A
Q86VP6	CAND1
A0A087WSX0	IGLV5-45
Q9Y5Y2	NUBP2
P04001	OPN1MW
P48664	SLC1A6
Q9GZU3	TMEM39B
Q8TF47	ZFP90
P62917	RPL8
Q9Y6J9	TAF6L
Q96BK5	PINX1
P54868	HMGCS2
Q96C03	MIEF2
Q9Y624	F11R
Q92982	NINJ1
P19387	POLR2C
Q2TB10	ZNF800
P23193	TCEA1
Q9UQ88	CDK11A
Q9Y277	VDAC3
Q5GFL6	VWA2
Q92508	PIEZO1
Q9NQW5	PRDM7
Q6ZW33	MICALCL
O60320	FAM189A1
Q9Y485	DMXL1
Q9NRA1	PDGFC
P78330	PSPH
P50479	PDLIM4
Q95460	MR1
P05997	COL5A2
P61962	DCAF7
P13378	HOXD8
O14830	PPEF2
Q7Z5N4	SDK1
Q9BW83	IFT27
Q8WXG6	MADD
C9JSJ3	BHMG1
Q9P2X0	DPM3
Q8N584	TTC39C
Q9BZF3	OSBPL6
Q15831	STK11
P30450	HLA-A
Q7Z3H4	SAMD7
O43617	TRAPPC3
P30307	CDC25C
P01614	IGKV2D-40
Q9BXY5	CAPS2
Q9Y2D0	CA5B
O60716	CTNND1
Q6ZNF0	ACP7
P80192	MAP3K9
Q99873	PRMT1
Q96H78	SLC25A44
A6NK97	SLC22A20P
Q3ZM63	ETDA
O75061	DNAJC6
Q9P2D0	IBTK
Q8IY49	MMD2
Q9HBI5	C3orf14
P22897	MRC1
P0DPH9	CXorf51B
Q8N328	PGBD3
O75051	PLXNA2
Q96RD6	PANX2
P36954	POLR2I
Q7RTS6	OTOP2
Q8NC74	RBBP8NL
A8MYJ7	TTC34
P45974	USP5
Q8WXI7	MUC16
Q9H0P0	NT5C3A
Q9H3S5	PIGM
Q5QJU3	ACER2
Q86WK9	PAQR7
O15020	SPTBN2
P53365	ARFIP2
P46937	YAP1
Q3Y452	TDRG1
Q8TAF5	FLVCR1-DT
Q8IW92	GLB1L2
Q9Y6N6	LAMC3
Q8N3C0	ASCC3
Q8NGS8	OR13C5
P20916	MAG
Q9H293	IL25
O15482	TEX28
O15482	TEX28P1
O15482	TEX28P2
Q8IZM8	ZNF654
Q16821	PPP1R3A
Q3SYF9	KRTAP19-7
P51531	SMARCA2
P21291	CSRP1
Q96JF0	ST6GAL2
Q9Y345	SLC6A5
Q6IAA8	LAMTOR1
Q4V328	GRIPAP1
P42701	IL12RB1
Q6P1M9	ARMCX5
P01225	FSHB
Q6VEQ5	WASH2P
B1AL46	NUTM2E
O95263	PDE8B
Q5JT25	RAB41
Q8WUN7	UBTD2
Q9GZS3	WDR61
Q5VYS4	MEDAG
P28566	HTR1E
P31314	TLX1
Q8WUU8	TMEM174
P36542	ATP5F1C
Q96L12	CALR3
Q15004	PCLAF
Q96A23	CPNE4
O95243	MBD4
P04264	KRT1
O14511	NRG2
Q13686	ALKBH1
Q86TE4	LUZP2
P47974	ZFP36L2
P15169	CPN1
Q06520	SULT2A1
O14931	NCR3
P17302	GJA1
Q3ZCQ2	ANXA2R
E9PQR5	NPIPB8
Q7Z3T1	OR2W3
O75473	LGR5
Q9H598	SLC32A1
Q86UG4	SLCO6A1
Q8N0Y7	PGAM4
A0A0K0K1B3	TRBV30
Q8NEZ4	KMT2C
P50548	ERF
Q8IWX5	SGPP2
Q8N3R3	TCAIM
Q8NES8	DEFB124
Q12933	TRAF2
P00505	GOT2
P19075	TSPAN8
Q5TB30	DEPDC1
Q92623	TTC9
Q8IUA0	WFDC8
P03986	TRGC2
Q6P2Q9	PRPF8
Q01629	IFITM2
P06340	HLA-DOA
Q9H5H4	ZNF768
P15153	RAC2
P01702	IGLV1-51
P0DN84	STRIT1
Q04826	HLA-B
Q86WV1	SKAP1
Q9NWQ8	PAG1
Q8WWX0	ASB5
O43825	B3GALT2
P04216	THY1
P0CI25	TRIM49
Q8WXX0	DNAH7
Q13625	TP53BP2
Q9BZ97	TTTY13
Q9BYV7	BCO2
Q9BYU5	KRTAP2-1
Q13077	TRAF1
P48728	AMT
Q9NX95	SYBU
P31944	CASP14
A5PLN7	FAM149A
Q9Y305	ACOT9
P17980	PSMC3
P80365	HSD11B2
Q15051	IQCB1
Q9BYF1	ACE2
Q9Y4F1	FARP1
Q9UBX7	KLK11
A0JP26	POTEB3
O94929	ABLIM3
A0A0B4J272	TRAV24
A0A589	TRBV4-3
Q9BQ95	ECSIT
Q8N8H1	ZNF321P
Q53EU6	GPAT3
Q8WV19	SFT2D1
Q6P1J6	PLB1
P23467	PTPRB
Q13002	GRIK2
Q9HAB8	PPCS
Q5JU85	IQSEC2
Q8NEY8	PPHLN1
P35625	TIMP3
Q9UK39	NOCT
Q8NA47	CCDC63
Q9NZM1	MYOF
O43462	MBTPS2
Q9H7E9	C8orf33
Q7Z5L9	IRF2BP2
Q6P1M3	LLGL2
P20340	RAB6A
P02144	MB
P50553	ASCL1
P13501	CCL5
O00470	MEIS1
Q8TDF6	RASGRP4
P48751	SLC4A3
Q14126	DSG2
O15014	ZNF609
Q8N1Q8	THEM5
Q9BUY7	EFCAB11
Q4G176	ACSF3
Q9ULX3	NOB1
Q99590	SCAF11
Q96MH2	HEXIM2
Q00444	HOXC5
P35247	SFTPD
Q8N7K0	ZNF433
Q765P7	MTSS2
Q9H720	CWH43
Q8IVU1	IGDCC3
Q9HCC8	GDPD2
O75420	GIGYF1
Q9NR82	KCNQ5
P62263	RPS14
P08758	ANXA5
Q6IEG0	SNRNP48
Q8IZ63	PRR22
P35637	FUS
Q9BSD3	RHNO1
Q8ND76	CCNY
O94972	TRIM37
P23469	PTPRE
Q9UJU6	DBNL
Q07864	POLE
Q8N9H9	C1orf127
Q9NWN3	FBXO34
Q96P65	QRFPR
P29762	CRABP1
O75113	N4BP1
Q9Y5V0	ZNF706
Q8WY98	TMEM234
Q6GPI1	CTRB2
A0PJX0	CIB4
Q12884	FAP
Q8IVP5	FUNDC1
Q86XE3	MICU3
Q6UXU0	UNQ9165/PRO28630
Q8WWZ7	ABCA5
Q5VW32	BROX
Q92820	GGH
Q6NUT3	MFSD12
P23458	JAK1
P52434	POLR2H
Q9Y4K4	MAP4K5
Q6GV28	TMEM225
Q6UXZ3	CD300LD
P10070	GLI2
A6NI15	MSGN1
Q96HS1	PGAM5
P50416	CPT1A
Q86TI4	WDR86
Q96CG8	CTHRC1
P10600	TGFB3
Q5VZ46	KIAA1614
P05787	KRT8
Q6NUM9	RETSAT
P37088	SCNN1A
Q01344	IL5RA
Q9HCC9	ZFYVE28
P55145	MANF
Q53FP2	TMEM35A
Q5VU69	C1orf189
Q15011	HERPUD1
Q7L3S4	ZNF771
Q8NGD1	OR4N2
P49888	SULT1E1
Q9Y6C2	EMILIN1
Q9UN88	GABRQ
O15194	CTDSPL
Q8IWE5	PLEKHM2
Q31612	HLA-B
Q96A49	SYAP1
P35268	RPL22
P51530	DNA2
Q8IUH2	CREG2
Q9NX31	OSER1
Q8TBE0	BAHD1
P28360	MSX1
A6NMD2	GOLGA8J
P58005	SESN3
A6NE82	MBD3L3
P05408	SCG5
P18825	ADRA2C
Q96CS7	PLEKHB2
Q8TB03	CXorf38
Q8N697	SLC15A4
Q01974	ROR2
O43186	CRX
Q9NYG8	KCNK4
P09327	VIL1
Q9UI12	ATP6V1H
Q8WWQ0	PHIP
O15533	TAPBP
O94829	IPO13
Q6ZRP7	QSOX2
O14492	SH2B2
Q9H2B2	SYT4
Q9Y2X3	NOP58
Q6RI45	BRWD3
Q14847	LASP1
O43175	PHGDH
A0A0U1RQF7	DPEP2NB
P07766	CD3E
P25788	PSMA3
Q9NU02	ANKEF1
Q8NCM8	DYNC2H1
Q7L1W4	LRRC8D
P54922	ADPRH
Q86SM5	MRGPRG
Q9Y5L3	ENTPD2
Q8TDU9	RXFP4
Q9NRG9	AAAS
Q96M91	CFAP53
Q9BS26	ERP44
Q9NVR2	INTS10
Q96QS6	PSKH2
Q9HB40	SCPEP1
A0JD32	TRAV38-2DV8
A8TX70	COL6A5
Q4G112	HSF5
Q14671	PUM1
Q6ZSM3	SLC16A12
O75715	GPX5
Q969M3	YIPF5
Q9UIQ6	LNPEP
Q9UIX4	KCNG1
Q9UBG7	RBPJL
Q68CZ1	RPGRIP1L
Q9NP59	SLC40A1
Q3SY56	SP6
Q9BVX2	TMEM106C
Q8IUB5	WFDC13
P98088	MUC5AC
Q8N9F8	ZNF454
Q99807	COQ7
Q2VPA4	CR1L
O14649	KCNK3
Q03135	CAV1
Q15257	PTPA
Q9ULC3	RAB23
P08253	MMP2
P45844	ABCG1
P43686	PSMC4
Q9Y4F9	RIPOR2
Q9Y5L4	TIMM13
Q9Y3M9	ZNF337
Q6XLA1	CASC2
P55087	AQP4
Q658T7	FAM90A2P
Q5VWK0	NBPF6
Q8NBV4	PLPP7
Q6ZP29	SLC66A1
Q9H0C1	ZMYND12
Q96I34	PPP1R16A
Q6ZMD2	SPNS3
P17483	HOXB4
Q5W0Z9	ZDHHC20
P10646	TFPI
Q9Y697	NFS1
Q8IZU2	WDR17
P25705	ATP5F1A
P60329	KRTAP12-4
O95104	SCAF4
O00423	EML1
O00182	LGALS9
Q9BXJ4	C1QTNF3
Q9ULB4	CDH9
P79483	HLA-DRB3
Q9Y224	RTRAF
Q8IYG6	LRRC56
P06315	IGKV5-2
Q8IV50	LYSMD2
O75607	NPM3
P00390	GSR
Q6UXB3	LYPD2
Q9UID3	VPS51
O60762	DPM1
Q5VV43	KIAA0319
Q96RN5	MED15
O00214	LGALS8
P01720	IGLV3-21
A6NDI0	TRIM49B
P30556	AGTR1
A8K7I4	CLCA1
Q9UNA4	POLI
P35251	RFC1
Q13336	SLC14A1
Q9BYD2	MRPL9
Q9Y5Z9	UBIAD1
P04118	CLPS
Q9UNE0	EDAR
P61582	ERVK-7
Q2KHT4	GSG1
O60902	SHOX2
Q5VVS0	C1orf140
Q9GZY1	PBOV1
Q9P1Y5	CAMSAP3
Q9P109	GCNT4
Q8TEW0	PARD3
Q6ZUJ4	C3orf62
P63220	RPS21
P58397	ADAMTS12
O75164	KDM4A
Q9H814	PHAX
Q8NDV1	ST6GALNAC3
Q6ZSI9	CAPN12
Q9NP99	TREM1
Q9H1H1	GTSF1L
Q9H756	LRRC19
Q9Y2J0	RPH3A
P53677	AP3M2
Q9HC23	PROK2
Q8N443	RIBC1
Q6P4A7	SFXN4
P55769	SNU13
P20020	ATP2B1
Q9H3E2	SNX25
O14753	OVOL1
P31151	S100A7
Q9HBI6	CYP4F11
Q15842	KCNJ8
Q9Y3U8	RPL36
Q8IYW4	ENTHD1
Q9BRG1	VPS25
Q562E7	WDR81
Q8IVQ6	ZDHHC21
Q9NP56	PDE7B
Q9BXP8	PAPPA2
P04209	IGLV2-14
Q8N9A8	CNEP1R1
O43752	STX6
Q5VT25	CDC42BPA
P49788	RARRES1
Q9HAK2	EBF2
Q68EA5	ZNF57
Q8NC01	CLEC1A
Q12934	BFSP1
P04437	TRAV29DV5
Q8N0S2	SYCE1
Q96F45	ZNF503
O95838	GLP2R
Q9Y6H5	SNCAIP
Q9H4L4	SENP3
Q9H3C7	GGNBP2
P22455	FGFR4
P62906	RPL10A
Q9Y6H6	KCNE3
P12755	SKI
P20849	COL9A1
Q8IXK2	GALNT12
O95453	PARN
Q6P1X6	C8orf82
Q9UKU6	TRHDE
P51159	RAB27A
Q9NRG1	PRTFDC1
Q9P2H5	USP35
Q8NH81	OR10G6
Q6AZW8	ZNF660
Q8N344	MIER2
Q9H0X9	OSBPL5
O94979	SEC31A
Q9BR01	SULT4A1
Q17RC7	EXOC3L4
P0C7P1	RBMY1D
Q9UHE8	STEAP1
Q8TC36	SUN5
Q5T6J7	IDNK
Q9BYD5	CNFN
Q53G44	IFI44L
Q8NHK3	KIR2DL5B
Q96DN6	MBD6
Q8IW03	SIAH3
O43921	EFNA2
Q9Y5F3	PCDHB1
Q6P3X8	PGBD2
Q9NQ03	SCRT2
Q2M3C7	SPHKAP
Q9NZT1	CALML5
P61981	YWHAG
Q641Q3	METRNL
Q8NH05	OR4Q3
Q15620	OR8B8
O95977	S1PR4
Q8N8D7	NKAIN3
Q8IXZ3	SP8
A0A1B0GVM6	C11orf97
Q9UQ10	DHDH
P22626	HNRNPA2B1
Q2KHR3	QSER1
P25440	BRD2
P48645	NMU
A0A0U1RQE8	GLYATL1B
Q8N999	C12orf29
Q9H2G2	SLK
A0A075B6N3	TRBV24-1
O14907	TAX1BP3
A8MPS7	YDJC
P23634	ATP2B4
Q9Y250	LZTS1
Q9NRD0	FBXO8
Q5T089	MORN1
Q5T754	LCE1F
P28335	HTR2C
P26440	IVD
P26639	TARS1
Q5SVZ6	ZMYM1
Q9UJW8	ZNF180
A0A0B4J1U7	IGHV6-1
P51946	CCNH
Q5THK1	PRR14L
P29350	PTPN6
Q9UL15	BAG5
Q13231	CHIT1
P33240	CSTF2
P56282	POLE2
Q13404	UBE2V1
Q14203	DCTN1
Q9HCK5	AGO4
O43293	DAPK3
Q3LI62	KRTAP20-4
P12644	BMP4
P0CI00	ZNF705B
Q14765	STAT4
Q8TB72	PUM2
Q04837	SSBP1
Q96KS0	EGLN2
Q13515	BFSP2
Q5JY77	GPRASP1
Q8NH21	OR4F5
P55786	NPEPPS
Q8N4Q1	CHCHD4
Q9C056	NKX6-2
O15514	POLR2D
P36383	GJC1
A6NKQ9	CGB1
Q96A32	MYLPF
Q12889	OVGP1
P00742	F10
Q9NS40	KCNH7
P57086	SCAND1
Q96N76	UROC1
P40855	PEX19
Q15645	TRIP13
P30049	ATP5F1D
Q9BQC3	DPH2
Q6NXP2	FAM71F2
P59103	DAOA
P78333	GPC5
A0A0C4DH41	IGHV4-61
O14986	PIP5K1B
Q8TD84	DSCAML1
O75533	SF3B1
O60504	SORBS3
Q96EY9	ADAT3
Q9NS85	CA10
P22352	GPX3
Q6H9L7	ISM2
Q9NPB6	PARD6A
Q9H1K4	SLC25A18
P08294	SOD3
Q9NYV6	RRN3
